iter	Passed	Remaining
627	9894	2709
628	9909	2694
629	9925	2678
630	9941	2662
631	9958	2647
632	9973	2631
633	9988	2615
634	10003	2599
635	10019	2583
636	10034	2567
637	10050	2552
638	10066	2536
639	10082	2520
640	10097	2504
641	10111	2488
642	10127	2472
643	10142	2456
644	10157	2440
645	10171	2424
646	10188	2409
647	10203	2393
648	10219	2377
649	10234	2361
650	10250	2346
651	10266	2330
652	10281	2314
653	10296	2298
654	10313	2283
655	10328	2267
656	10342	2251
657	10359	2235
658	10379	2220
659	10399	2206
660	10420	2191
661	10439	2176
662	10455	2160
663	10479	2146
664	10496	2130
665	10514	2115
666	10530	2099
667	10546	2084
668	10562	2068
669	10578	2052
670	10595	2036
671	10610	2021
672	10626	2005
673	10643	1989
674	10659	1973
675	10675	1958
676	10691	1942
677	10706	1926
678	10721	1910
679	10735	1894
680	10750	1878
681	10766	1862
682	10782	1847
683	10798	1831
684	10813	1815
685	10830	1799
686	10848	1784
687	10863	1768
688	10879	1752
689	10894	1736
690	10909	1720
691	10925	1705
692	10940	1689
693	10955	1673
694	10970	1657
695	10986	1641
696	11000	1625
697	11015	1609
698	11031	1593
699	11046	1578
700	11062	1562
701	11078	1546
702	11094	1530
703	11110	1515
704	11126	1499
705	11142	1483
706	11159	1467
707	11176	1452
708	11193	1436
709	11210	1421
710	11228	1405
711	11249	1390
712	11268	1374
713	11286	1359
714	11303	1343
715	11321	1328
716	11338	1312
717	11356	1296
718	11373	1281
719	11391	1265
720	11409	1250
721	11432	1235
722	11449	1219
723	11469	1203
724	11488	1188
725	11507	1172
726	11532	1158
727	11549	1142
728	11568	1126
729	11587	1111
730	11604	1095
731	11621	1079
732	11643	1064
733	11660	1048
734	11676	1032
735	11694	1016
736	11709	1000
737	11727	985
738	11744	969
739	11763	953
740	11780	938
741	11799	922
742	11818	906
743	11836	890
744	11852	875
745	11868	859
746	11884	843
747	11904	827
748	11922	811
749	11941	796
750	11962	780
751	11981	764
752	11999	748
753	12017	733
754	12035	717
755	12054	701
756	12072	685
757	12089	669
758	12107	654
759	12123	638
760	12140	622
761	12157	606
762	12175	590
763	12191	574
764	12209	558
765	12225	542
766	12242	526
767	12261	510
768	12283	495
769	12300	479
770	12317	463
771	12338	447
772	12355	431
773	12372	415
774	12388	399
775	12408	383
776	12423	367
777	12439	351
778	12456	335
779	12471	319
780	12488	303
781	12504	287
782	12519	271
783	12535	255
784	12551	239
785	12566	223
786	12582	207
787	12597	191
788	12614	175
789	12630	159
790	12645	143
791	12661	127
792	12675	111
793	12691	95
794	12707	79
795	12722	63
796	12736	47
797	12751	31
798	12766	15
799	12782	0
